CONTAINER ID   NAME                         CPU %     MEM USAGE / LIMIT   MEM %     NET I/O      BLOCK I/O        PIDS
ef0a9ca3da1c   example-reactive-service-1   10.70    181MiB / 512MiB     35.36    35.2MB / 26.3MB   19.1MB / 1.63MB   18
ef0a9ca3da1c   example-reactive-service-1   11.84    180.9MiB / 512MiB   35.34    35.8MB / 26.8MB   19.1MB / 1.63MB   18
ef0a9ca3da1c   example-reactive-service-1   10.36    180.9MiB / 512MiB   35.32    36.4MB / 27.3MB   19.1MB / 1.65MB   18
ef0a9ca3da1c   example-reactive-service-1   13.56    180.9MiB / 512MiB   35.34    37.2MB / 27.8MB   19.1MB / 1.68MB   18
ef0a9ca3da1c   example-reactive-service-1   11.33    180.9MiB / 512MiB   35.34    37.9MB / 28.4MB   19.1MB / 1.68MB   18
ef0a9ca3da1c   example-reactive-service-1   12.38    181MiB / 512MiB     35.35    38.6MB / 28.9MB   19.1MB / 1.72MB   18
ef0a9ca3da1c   example-reactive-service-1   11.73    181.7MiB / 512MiB   35.50    39.2MB / 29.4MB   19.1MB / 1.72MB   18
ef0a9ca3da1c   example-reactive-service-1   11.30    182.2MiB / 512MiB   35.58    39.8MB / 29.8MB   19.1MB / 1.73MB   18
ef0a9ca3da1c   example-reactive-service-1   11.56    183.2MiB / 512MiB   35.78    40.6MB / 30.4MB   19.1MB / 1.77MB   18
ef0a9ca3da1c   example-reactive-service-1   11.35    183.8MiB / 512MiB   35.90    41.2MB / 30.9MB   19.1MB / 1.77MB   18
ef0a9ca3da1c   example-reactive-service-1   12.16    184MiB / 512MiB     35.94    41.9MB / 31.4MB   19.1MB / 1.78MB   18
ef0a9ca3da1c   example-reactive-service-1   11.02    185MiB / 512MiB     36.12    42.6MB / 31.9MB   19.1MB / 1.8MB   18
ef0a9ca3da1c   example-reactive-service-1   11.96    185MiB / 512MiB     36.14    43.3MB / 32.4MB   19.1MB / 1.83MB   18
ef0a9ca3da1c   example-reactive-service-1   11.66    185.5MiB / 512MiB   36.24    43.9MB / 32.9MB   19.1MB / 1.83MB   18
ef0a9ca3da1c   example-reactive-service-1   13.26    185.6MiB / 512MiB   36.25    44.6MB / 33.4MB   19.1MB / 1.86MB   18
ef0a9ca3da1c   example-reactive-service-1   11.71    185.5MiB / 512MiB   36.23    45.3MB / 34MB   19.1MB / 1.88MB   18
ef0a9ca3da1c   example-reactive-service-1   11.61    185.5MiB / 512MiB   36.23    45.9MB / 34.5MB   19.1MB / 1.88MB   18
ef0a9ca3da1c   example-reactive-service-1   13.16    185.6MiB / 512MiB   36.26    46.6MB / 35MB   19.1MB / 1.91MB   18
ef0a9ca3da1c   example-reactive-service-1   9.75     185.8MiB / 512MiB   36.29    47.2MB / 35.4MB   19.1MB / 1.91MB   18
ef0a9ca3da1c   example-reactive-service-1   13.79    185.9MiB / 512MiB   36.30    47.9MB / 35.9MB   19.1MB / 1.93MB   18
ef0a9ca3da1c   example-reactive-service-1   14.58    187.4MiB / 512MiB   36.61    48.6MB / 36.5MB   19.1MB / 1.96MB   18
ef0a9ca3da1c   example-reactive-service-1   11.27    187.4MiB / 512MiB   36.59    49.3MB / 37MB   19.1MB / 1.96MB   18
ef0a9ca3da1c   example-reactive-service-1   11.91    187.6MiB / 512MiB   36.64    50MB / 37.6MB   19.1MB / 1.98MB   18
ef0a9ca3da1c   example-reactive-service-1   12.02    187.4MiB / 512MiB   36.61    50.7MB / 38.1MB   19.1MB / 2.01MB   18
ef0a9ca3da1c   example-reactive-service-1   11.91    187.5MiB / 512MiB   36.62    51.4MB / 38.6MB   19.1MB / 2.01MB   18
ef0a9ca3da1c   example-reactive-service-1   10.96    187.4MiB / 512MiB   36.61    52.1MB / 39.1MB   19.1MB / 2.03MB   18
ef0a9ca3da1c   example-reactive-service-1   13.24    187.5MiB / 512MiB   36.63    52.7MB / 39.6MB   19.1MB / 2.06MB   18
ef0a9ca3da1c   example-reactive-service-1   10.95    187.6MiB / 512MiB   36.63    53.3MB / 40.1MB   19.1MB / 2.06MB   18
ef0a9ca3da1c   example-reactive-service-1   10.81    187.5MiB / 512MiB   36.62    54MB / 40.6MB   19.1MB / 2.08MB   18
ef0a9ca3da1c   example-reactive-service-1   10.69    187.6MiB / 512MiB   36.64    54.6MB / 41MB   19.1MB / 2.09MB   18
